date,down_hole_presure,down_hole_temperature,production_pipe_pressure,choke_size_pct,well_head_presure,well_head_temperature,choke_size_pressure,oil
2013-12-02,251.503,100.136,219.368,100.0,32.136,87.188,2.703,644.52
2014-02-03,253.949,100.036,221.578,100.0,32.371,86.146,2.769,581.16
2009-01-09,249.588,104.552,158.062,28.121,98.477,72.647,66.201,2627.22
2011-05-03,246.695,104.153,205.402,60.21,41.293,90.14,11.221,1691.62
2012-06-11,228.304,102.385,195.462,100.0,32.842,86.562,3.176,1086.48
2011-12-13,243.766,102.815,201.926,14.024,41.84,84.695,11.765,571.4
2013-09-20,256.749,100.338,220.071,39.67,36.679,82.348,7.611,326.59
2010-12-30,240.98,105.63,201.471,97.917,39.509,90.844,9.608,2060.71
2009-11-09,239.191,105.939,175.539,42.019,63.652,86.531,30.275,3121.08
2012-05-15,227.019,102.726,194.193,100.0,32.826,85.968,3.428,1163.17
2015-01-28,263.124,99.466,231.801,100.0,31.324,86.603,2.064,309.9
2013-10-24,249.629,100.295,217.437,97.917,32.193,87.259,2.765,686.11
2011-11-11,240.863,103.039,199.803,34.861,41.06,84.424,11.52,1093.95
2013-11-25,251.083,100.163,218.85,100.0,32.233,88.349,2.8,700.29
2015-01-08,262.838,99.567,231.46,100.0,31.378,86.399,2.352,322.41
2012-12-03,243.357,101.534,205.492,54.06,37.864,87.743,8.124,1054.37
2010-08-05,254.149,106.491,204.358,54.622,49.791,92.391,16.708,2065.25
2013-02-10,241.868,101.13,209.688,99.181,32.179,86.696,3.221,966.22
2013-06-17,244.811,100.79,212.585,100.0,32.226,89.119,3.264,877.01
2014-05-30,258.889,100.119,227.302,100.0,31.586,89.135,2.582,420.8
2012-04-08,220.407,103.644,185.942,100.0,34.465,85.698,3.157,1279.75
2009-03-18,254.087,105.432,164.332,36.327,89.756,80.524,56.879,4546.78
2015-09-14,266.322,99.398,236.043,100.0,30.279,87.25,1.501,182.96
2013-12-30,252.658,100.085,220.506,100.0,32.152,86.344,2.936,626.64
2009-06-27,228.741,105.074,152.311,28.176,76.429,74.743,45.213,1774.82
2010-11-13,241.566,106.04,198.86,79.161,42.706,91.654,10.086,2219.72
2013-02-11,241.795,101.117,209.666,99.059,32.129,85.703,3.181,964.43
2014-08-29,177.674,68.206,146.86,99.291,30.814,86.924,2.018,374.02
2011-08-22,248.374,103.328,202.752,50.007,45.622,89.38,15.171,1681.07
2015-07-27,266.886,99.499,236.451,100.0,30.435,88.763,1.87,208.91
2013-01-23,242.361,101.23,209.137,77.297,33.224,88.007,4.264,959.48
2012-12-07,242.66,101.535,206.116,58.725,36.544,87.172,6.847,1056.74
2009-10-05,237.039,105.784,170.145,42.458,66.894,86.966,32.911,3740.04
2010-03-29,240.441,106.366,186.054,46.68,54.387,89.959,20.932,2380.49
2013-05-29,244.796,100.832,211.806,100.0,32.99,88.783,3.232,851.08
2011-08-09,243.608,103.507,198.423,54.473,45.185,88.542,14.587,2110.26
2012-09-30,215.333,102.432,179.856,99.989,35.477,81.057,4.405,1238.4
2013-08-04,245.314,100.686,212.589,95.744,32.725,87.661,3.338,736.95
2012-07-17,230.364,102.054,197.858,100.0,32.506,85.647,3.146,1060.07
2015-05-18,266.646,99.559,235.747,100.0,30.899,87.234,1.823,218.22
2010-01-15,235.084,106.199,183.337,49.223,51.747,85.651,18.892,2762.75
2013-02-02,241.816,101.173,209.279,89.982,32.537,88.111,3.565,961.4
2009-04-03,241.566,105.143,158.641,36.764,82.925,78.758,50.129,4211.6
2011-09-06,245.43,103.285,204.264,62.312,41.167,87.668,10.619,1712.36
2013-05-01,242.724,100.979,210.396,100.0,32.328,87.104,3.317,944.52
2009-07-03,229.594,105.052,152.51,28.06,77.084,76.514,45.825,1756.69
2009-02-07,259.323,105.368,164.316,34.846,95.007,76.402,61.995,4501.18
2013-06-09,244.365,100.826,212.154,100.0,32.211,88.751,3.383,882.71
2012-06-02,227.504,102.481,194.86,100.0,32.644,86.137,3.275,1122.99
2016-05-15,274.244,99.727,240.224,30.14,34.02,82.997,8.169,71.02
2014-09-28,261.286,99.728,230.149,100.0,31.137,88.033,2.13,334.71
2015-02-21,264.161,99.657,233.09,100.0,31.071,88.257,2.438,265.58
2008-09-09,252.37,104.614,155.039,27.525,97.331,72.459,65.488,2272.65
2014-10-29,262.071,99.632,231.277,100.0,30.794,88.581,2.304,318.0
2015-09-22,257.284,94.192,221.871,58.896,35.413,84.949,5.752,99.34
2010-01-29,245.085,106.211,186.201,41.878,58.884,89.151,26.625,2431.33
2009-02-28,269.144,105.443,167.851,34.281,101.293,78.118,68.16,4417.91
2015-03-21,265.192,99.638,234.438,100.0,30.754,88.395,2.174,274.32
2016-06-17,269.734,100.073,238.839,44.939,30.895,89.226,5.369,103.29
2010-10-19,242.377,106.225,196.714,62.807,45.663,91.363,13.259,2493.55
2014-05-18,255.486,99.927,224.918,97.917,30.568,86.482,2.016,455.57
2011-01-10,242.136,105.512,202.799,100.0,39.337,89.698,9.438,1965.28
2016-03-19,266.974,99.637,239.215,100.0,27.758,88.612,1.852,117.8
2011-04-22,246.1,104.3,205.0,61.2,41.1,90.4,11.0,1702.66
2009-09-14,235.231,105.684,167.365,42.231,67.867,87.498,34.695,4478.74
2008-09-21,220.149,104.917,154.839,45.469,65.31,75.371,31.796,4520.52
2014-08-08,260.785,99.899,229.598,97.917,31.187,89.426,2.142,332.25
2012-06-04,227.694,102.465,195.061,100.0,32.633,86.084,3.265,1115.89
2012-11-18,243.628,101.562,202.903,48.915,40.725,86.963,10.992,1163.83
2013-01-12,241.791,101.297,208.269,75.335,33.521,86.996,4.275,977.72
2015-02-10,262.199,99.496,231.55,100.0,30.648,87.725,2.14,250.89
2010-04-01,270.799,103.854,215.275,5.295,55.524,43.177,19.218,1667.62
2010-05-30,246.829,106.724,198.883,67.328,47.946,91.879,14.41,2649.13
2015-01-10,268.064,99.494,232.168,65.14,35.896,81.985,5.152,231.0
2014-03-08,254.331,99.959,222.223,100.0,32.108,86.379,2.683,591.15
2013-01-06,241.231,101.357,207.541,71.911,33.689,88.375,4.482,984.48
2012-10-23,240.67,101.903,197.272,47.228,43.398,87.849,13.685,1368.18
2013-08-02,298.163,98.971,297.68,36.45,0.482,16.357,0.184,320.663
2015-03-02,265.349,99.636,233.784,100.0,31.565,88.224,2.25,270.42
2015-08-05,267.117,99.468,236.772,100.0,30.346,87.789,1.799,199.66
2009-04-19,238.392,103.942,157.564,24.177,80.827,49.8,49.867,217.49
2010-08-21,301.931,100.923,298.798,49.8,3.133,16.005,2.313,1929.376
2010-09-18,270.68,106.054,201.845,28.36,68.835,83.895,36.399,1071.23
2011-09-27,244.285,103.225,207.489,100.0,36.796,90.094,7.367,1797.79
2012-10-14,240.904,102.059,197.371,11.264,43.532,87.274,14.288,205.63
2013-12-23,252.114,100.148,219.922,100.0,32.192,85.895,2.846,628.71
2015-12-22,265.326,99.531,237.585,100.0,27.742,86.057,1.815,166.23
2010-03-08,248.937,105.975,184.769,37.255,64.167,80.31,31.563,1151.8
2015-07-20,266.865,99.519,236.464,100.0,30.401,88.28,1.838,213.78
2014-04-08,255.671,100.006,223.432,100.0,32.239,87.992,2.589,543.96
2015-10-25,263.616,99.457,235.83,100.0,27.786,87.122,1.559,188.52
2009-09-30,270.407,100.62,168.994,28.178,101.413,11.118,99.084,693.974
2009-12-07,243.184,106.0,179.089,40.261,64.095,86.618,30.504,2895.94
2008-09-28,209.36,105.027,152.612,53.96,56.748,78.514,23.476,5156.66
2014-07-12,260.247,99.952,229.058,100.0,31.189,88.863,2.132,443.73
2010-04-30,234.78,106.506,187.16,61.249,47.621,90.694,13.757,3159.22
2009-12-21,232.696,106.08,179.486,48.299,53.21,85.865,20.342,3061.28
2012-05-09,226.419,102.827,193.554,100.0,32.865,86.175,3.467,1189.84
2014-06-22,260.457,100.009,229.05,100.0,31.407,89.278,2.299,474.22
2012-05-16,227.082,102.715,194.273,100.0,32.809,85.512,3.406,1160.68
2015-07-22,266.913,99.519,236.46,100.0,30.453,88.839,1.892,217.6
2012-06-26,229.174,102.223,196.628,100.0,32.546,86.483,3.237,1023.48
2011-07-21,240.888,103.475,198.621,63.986,42.266,88.919,11.504,2197.54
2012-10-20,239.366,102.176,195.235,46.015,44.131,86.496,14.716,891.56
2010-04-11,246.805,106.382,188.38,42.692,58.425,90.255,25.406,2548.68
2011-09-14,244.751,103.275,205.392,70.159,39.36,89.92,8.806,1567.69
2012-05-29,227.59,102.536,194.881,100.0,32.71,86.39,3.323,1131.35
2010-11-29,241.569,105.94,199.858,100.0,41.711,89.509,9.121,2125.95
2009-11-11,238.583,105.96,175.968,44.164,62.615,86.315,29.139,3640.41
2013-07-04,245.025,100.772,212.539,100.0,32.486,88.08,3.481,875.54
2012-04-17,222.641,103.391,188.361,100.0,34.28,83.59,2.975,1193.74
2015-05-29,265.556,99.528,235.234,100.0,30.322,87.43,1.828,212.97
2013-09-09,247.953,100.454,216.036,100.0,31.917,89.058,2.978,764.55
2009-09-28,270.539,101.221,168.12,35.61,102.418,13.292,102.418,1222.402
2013-04-29,242.612,100.989,210.042,99.999,32.57,87.329,3.316,977.42
2012-12-22,241.02,101.467,206.583,68.258,34.438,84.682,5.206,1041.77
2015-11-19,265.179,99.57,237.412,100.0,27.767,88.793,1.849,195.58
2008-12-27,246.166,105.246,156.358,33.086,89.809,78.884,57.149,3422.04
2008-09-11,237.059,104.879,160.05,42.015,77.008,75.619,43.636,4813.99
2010-03-23,235.974,106.308,183.635,48.268,52.338,89.142,18.905,2763.87
2009-12-29,233.687,106.135,180.653,48.182,53.035,88.957,20.169,2892.66
2015-08-24,266.357,99.429,236.168,100.0,30.189,87.968,1.692,182.3
2008-09-01,260.716,99.511,159.046,25.277,101.67,18.113,69.97,1409.71
2012-05-03,222.476,103.068,189.792,100.0,32.684,86.985,3.326,1116.23
2010-10-05,241.662,106.338,194.531,64.601,47.131,89.599,14.603,2896.5
2016-07-10,265.923,100.338,238.398,100.0,27.524,89.154,1.959,113.38
2008-08-31,252.346,104.092,156.706,24.328,95.64,58.451,63.534,1473.98
2010-07-09,263.624,106.446,200.868,39.468,62.756,91.04,29.81,1805.19
2011-06-19,247.087,103.666,207.952,67.612,39.135,91.513,9.714,1616.68
2013-09-29,135.626,54.76,103.14,100.0,32.486,87.066,2.993,665.7
2014-07-31,260.797,99.92,229.523,100.0,31.274,89.297,2.203,355.48
2014-01-10,252.116,100.038,219.96,100.0,32.157,88.117,2.957,633.44
2010-04-13,243.242,106.357,187.022,44.264,56.22,90.421,23.107,2581.96
2015-10-09,263.339,99.502,235.679,100.0,27.659,88.62,1.747,192.53
2011-04-23,246.1,104.3,205.0,61.2,41.1,90.4,11.0,1699.76
2012-07-23,230.555,102.008,198.152,100.0,32.404,84.03,3.048,1059.17
2008-08-08,259.488,103.413,161.462,17.481,98.026,43.066,68.702,724.97
2012-03-15,222.644,104.096,184.901,47.934,37.743,84.937,6.923,1076.12
2011-10-12,244.869,103.094,208.343,100.0,36.526,90.957,7.188,1551.83
2009-04-16,126.438,57.946,49.455,33.94,76.983,70.601,44.687,2452.26
2014-05-09,302.269,99.078,230.448,1.285,71.82,14.754,42.67,185.135
2014-03-13,254.872,99.96,222.667,97.917,32.205,88.031,2.721,543.99
2014-04-12,256.133,100.004,223.677,100.0,32.456,86.281,2.734,584.55
2009-07-11,229.875,105.051,152.798,28.219,77.078,74.552,45.663,1973.72
2011-07-27,290.926,101.008,189.045,53.872,101.881,31.339,80.388,1285.345
2014-12-07,261.79,99.531,230.023,100.0,31.767,87.054,1.903,310.03
2015-09-17,266.182,99.409,235.844,100.0,30.339,88.24,1.536,189.42
2015-04-27,266.511,99.668,235.771,100.0,30.74,88.504,2.18,266.54
2013-04-19,242.652,101.067,208.269,70.245,34.383,87.801,5.341,1029.29
2015-03-07,264.8,99.65,234.008,100.0,30.792,85.593,2.202,259.79
2015-07-31,267.137,99.485,236.72,100.0,30.416,88.274,1.881,201.29
2009-05-08,221.786,105.105,152.49,39.515,69.296,75.535,36.453,4081.41
2011-07-13,291.264,100.124,184.631,50.604,106.633,14.575,106.633,1052.427
2009-03-11,273.077,105.142,166.635,25.032,106.442,64.777,73.728,1185.05
2013-03-03,242.472,101.001,210.338,100.0,32.134,87.9,3.199,936.86
2010-02-19,138.317,58.556,60.529,41.379,60.529,88.952,28.173,2560.92
2013-07-13,245.662,100.717,213.142,100.0,32.52,89.358,3.641,860.38
2011-02-08,240.159,105.163,201.592,100.0,38.566,90.861,8.832,1856.36
2016-06-08,273.159,99.971,239.799,37.862,33.36,86.402,7.967,91.57
2012-11-06,237.192,101.608,199.194,55.207,37.998,87.5,8.245,1182.33
2009-06-30,229.201,105.061,152.409,28.133,76.792,76.49,45.523,1781.53
2015-11-20,265.854,99.559,237.469,100.0,28.385,88.4,1.758,187.25
2011-08-14,246.108,103.464,200.438,52.183,45.67,88.924,15.158,1850.03
2009-06-29,228.987,105.066,152.359,28.157,76.629,76.35,45.358,1786.06
2014-06-02,265.382,100.051,229.578,72.323,35.804,84.858,6.091,325.75
2013-11-17,249.633,100.22,217.356,100.0,32.277,88.017,2.831,701.5
2012-05-14,226.973,102.738,194.17,100.0,32.803,83.476,3.394,1166.23
2010-11-28,241.007,105.942,199.354,100.0,41.653,89.433,9.058,2120.65
2011-05-27,247.45,103.904,207.576,65.112,39.874,91.292,9.979,1620.58
2010-05-08,237.453,106.58,189.952,63.266,47.501,91.349,13.864,3165.64
2013-06-22,251.893,100.677,216.344,75.494,35.55,82.749,7.046,421.26
2013-08-15,245.866,100.624,213.633,100.0,32.233,88.139,3.214,763.75
2011-08-29,247.36,103.276,204.04,54.145,43.32,88.689,12.821,1660.56
2016-04-04,267.489,99.58,239.178,100.0,28.311,88.147,1.66,102.82
2011-08-28,248.127,103.278,204.073,52.036,44.054,87.809,13.57,1626.86
2012-12-27,241.636,101.418,206.67,63.233,34.966,88.175,5.738,1039.24
2013-07-16,245.721,100.71,213.331,100.0,32.39,89.339,3.612,827.69
2016-06-06,270.236,99.979,238.976,43.025,31.26,88.857,5.462,103.3
2011-01-13,227.367,98.954,188.026,100.0,39.342,90.702,9.432,1956.24
2010-01-06,236.246,106.14,181.93,46.054,54.315,88.42,21.614,2755.53
2014-11-21,259.316,99.537,229.792,100.0,29.524,87.126,2.147,356.36
2014-11-27,261.899,99.478,230.427,100.0,31.472,84.063,1.921,321.38
2014-11-30,266.427,99.423,231.435,70.687,34.992,83.632,5.387,321.67
2013-05-15,96.609,39.769,62.578,100.0,34.031,85.875,4.874,844.52
2015-09-30,266.736,99.428,235.994,97.917,30.741,87.831,1.533,171.36
2013-10-14,249.915,100.312,217.709,100.0,32.206,88.457,2.913,671.85
2016-01-06,265.193,99.55,237.676,100.0,27.516,84.173,1.803,153.43
2015-02-05,261.749,99.432,230.868,100.0,30.881,87.107,1.861,338.0
2013-09-21,250.638,100.437,217.027,82.063,33.612,86.329,3.857,655.17
2014-04-29,256.812,100.018,225.163,100.0,31.649,88.555,2.761,554.65
2015-01-31,265.061,99.451,233.003,77.321,32.057,85.532,3.169,170.36
2008-11-14,224.555,105.109,149.009,35.73,75.547,76.694,43.383,3498.89
2015-10-24,263.7,99.459,235.884,100.0,27.816,87.2,1.505,178.36
2011-01-21,242.179,105.37,202.894,100.0,39.285,91.047,9.42,1998.81
2010-03-30,242.177,106.36,186.43,45.174,55.747,87.9,22.369,2555.35
2009-08-26,234.194,105.343,171.798,30.955,62.396,78.752,36.666,1466.67
2011-06-06,246.525,103.808,207.77,68.714,38.755,91.442,9.306,1617.42
2013-04-14,242.498,101.188,208.006,70.369,34.492,85.388,5.434,1023.15
2016-04-08,266.614,99.589,238.954,100.0,27.66,88.594,1.799,118.84
2009-11-26,245.695,105.895,176.426,36.455,69.269,84.706,36.264,3085.33
2014-04-22,256.045,100.03,224.437,100.0,31.607,88.221,2.846,555.35
2009-06-22,219.063,105.233,151.393,35.715,67.67,79.465,35.638,2774.05
2015-07-14,266.827,99.528,236.366,100.0,30.461,88.843,1.899,226.32
2010-09-14,285.455,105.983,201.642,16.267,83.813,83.71,52.566,141.84
2015-03-29,265.451,99.658,234.569,97.826,30.881,88.545,2.24,250.31
2009-05-10,221.837,105.134,152.807,40.155,69.031,78.949,36.076,4150.8
2012-04-21,221.623,103.313,188.36,100.0,33.263,85.74,3.164,1191.85
2011-07-17,291.175,100.146,186.028,59.002,105.148,15.64,95.06,1140.513
2011-11-20,241.753,102.949,202.393,74.183,39.36,87.589,9.757,1810.86
2011-05-30,247.559,103.872,207.731,65.183,39.829,90.797,9.942,1626.74
2014-01-06,254.447,100.05,221.395,82.563,33.052,86.18,3.857,523.11
2015-02-01,264.845,99.446,232.544,72.403,32.301,84.959,3.284,183.95
2009-02-19,263.909,105.407,166.193,34.802,97.717,77.436,64.598,4518.34
2012-09-23,298.578,98.951,187.696,1.389,110.882,12.563,68.1,389.048
2014-04-30,256.966,100.018,225.307,100.0,31.66,88.733,2.743,539.32
2009-10-09,240.943,105.781,170.575,40.278,70.367,86.423,36.934,3536.73
2016-02-09,265.726,99.543,237.842,100.0,27.884,87.573,1.569,143.71
2011-06-03,246.452,103.83,207.734,70.093,38.718,91.081,9.302,1547.21
2008-10-06,215.263,104.938,148.705,38.503,66.558,74.519,34.418,3485.34
2012-05-10,226.662,102.806,193.775,100.0,32.887,85.888,3.484,1185.93
2014-09-21,261.043,99.778,229.88,97.917,31.162,88.801,2.154,333.29
2010-04-02,249.669,105.911,195.522,35.256,54.147,75.847,23.092,805.18
2009-04-06,126.131,51.265,99.978,35.675,81.709,19.688,0.204,3550.15
2011-09-05,245.418,103.285,204.145,61.667,41.273,88.915,10.726,1714.87
2009-04-30,218.593,105.086,151.129,39.248,67.463,77.784,34.635,4035.73
2015-05-23,265.901,99.551,235.455,100.0,30.446,88.217,1.901,202.34
2013-02-18,242.066,101.07,209.882,98.993,32.184,87.673,3.232,967.26
2011-05-16,246.928,104.019,205.904,60.247,41.024,89.757,10.915,1650.33
2009-09-06,247.913,105.281,247.423,27.619,0.49,80.544,31.176,1802.88
2009-11-01,244.806,105.825,173.324,37.712,71.481,85.155,38.77,3226.08
2012-08-25,293.882,98.95,291.038,1.143,2.844,15.547,2.51,271.611
2013-10-06,248.909,100.368,216.51,100.0,32.398,87.945,2.921,718.46
2016-06-01,270.457,99.931,239.037,43.151,31.42,88.538,5.64,102.65
2012-10-02,216.941,102.439,182.681,100.0,34.259,82.555,4.422,1409.91
2015-03-05,264.986,99.645,233.81,100.0,31.176,87.179,2.284,270.27
2016-04-17,265.892,99.62,238.707,100.0,27.185,87.718,1.696,116.79
2010-05-05,237.134,106.542,188.566,59.116,48.568,90.996,14.998,3069.97
2014-02-04,253.701,100.041,221.4,100.0,32.301,85.12,2.717,578.4
2014-01-25,253.354,100.078,221.286,100.0,32.068,85.738,3.2,651.77
2012-07-01,229.771,102.181,197.231,100.0,32.54,85.149,3.163,1099.01
2010-10-23,243.053,106.206,197.362,62.32,45.691,91.676,13.333,2434.43
2009-06-23,218.988,105.232,151.414,35.745,67.574,80.04,35.573,2807.65
2015-11-27,266.461,99.529,237.327,100.0,29.134,86.772,1.53,181.38
2016-07-05,269.766,100.246,238.797,45.077,30.97,89.525,5.433,101.88
2012-02-14,219.093,105.031,178.855,40.714,40.238,85.748,9.042,1299.87
2009-04-18,230.897,104.82,155.605,33.485,75.292,72.279,42.903,1417.68
2015-02-19,264.422,99.668,233.324,100.0,31.098,86.251,2.464,278.07
2012-09-11,302.186,98.568,294.278,0.276,7.907,12.733,7.455,347.599
2012-11-22,244.017,101.555,203.639,49.141,40.378,86.769,10.661,1147.42
2012-04-11,221.351,103.552,186.845,100.0,34.506,86.965,3.168,1241.47
2008-07-31,247.192,104.67,157.411,35.465,89.781,77.685,57.77,3550.27
2010-03-25,237.292,106.333,184.509,47.665,52.782,87.838,19.339,2710.55
2010-04-24,232.116,106.336,182.306,52.598,49.81,89.006,16.356,2656.07
2013-02-05,241.761,101.152,209.316,91.274,32.444,87.388,3.447,960.92
2014-07-23,260.536,99.922,229.29,100.0,31.245,89.245,2.209,442.19
2011-05-20,246.264,103.98,206.487,69.668,39.777,88.77,9.532,1604.94
2016-06-29,269.828,100.185,238.94,45.204,30.887,88.38,5.367,102.38
2012-06-29,229.707,102.203,197.167,100.0,32.54,84.484,3.136,1090.18
2016-01-29,265.341,99.558,237.915,100.0,27.426,85.166,1.579,152.55
2015-11-28,266.361,99.528,237.305,100.0,29.055,86.592,1.512,179.87
2015-07-05,266.963,99.54,236.418,100.0,30.545,88.416,1.96,232.49
2011-02-27,242.981,104.982,204.785,100.0,38.196,91.676,8.578,1975.89
2011-06-15,247.02,103.707,207.951,67.704,39.069,90.438,9.657,1616.63
2012-03-18,219.56,104.06,183.6,54.281,35.96,86.147,4.717,1220.05
2013-12-10,257.169,100.093,223.041,18.189,34.128,86.379,4.345,37.17
2014-01-22,252.919,100.055,220.941,100.0,31.978,83.621,3.165,597.45
2010-05-31,259.125,106.583,197.863,42.275,61.262,91.868,28.094,1602.66
2011-02-24,241.204,105.035,202.507,100.0,38.697,88.162,8.915,2007.92
2012-06-23,229.433,102.257,196.872,100.0,32.561,85.165,3.19,1011.5
2015-05-07,266.239,99.616,235.656,100.0,30.584,88.151,2.0,251.83
2012-01-14,287.805,100.328,191.293,3.973,96.511,24.467,42.891,108.08
2009-02-18,263.497,105.401,165.919,34.818,97.577,78.528,64.438,4515.1
2010-03-13,239.668,106.279,183.301,43.454,56.366,89.479,23.403,2651.61
2011-04-13,247.885,104.376,205.483,59.95,42.402,89.12,12.456,1532.81
2014-06-25,260.687,100.009,229.264,100.0,31.423,89.373,2.336,462.73
2009-05-14,222.226,105.193,153.782,41.272,68.444,80.0,35.292,4211.25
2008-09-04,252.293,104.58,154.812,27.028,97.481,73.262,65.056,2186.74
2014-04-09,255.926,100.024,223.536,100.0,32.39,88.304,2.529,573.63
2013-07-22,262.985,100.454,220.806,13.484,42.179,74.39,15.548,105.65
2015-10-29,270.887,99.412,238.084,68.459,32.803,80.093,6.276,151.69
2013-12-05,251.944,100.119,219.419,96.367,32.525,85.773,3.09,609.47
2011-09-08,244.788,103.29,204.312,64.958,40.476,89.458,9.896,1714.58
2015-02-06,261.075,99.436,230.683,100.0,30.392,87.501,1.921,206.71
2009-06-24,219.026,105.233,151.441,35.738,67.586,79.974,35.616,2811.94
2010-11-10,246.244,105.979,200.007,64.486,46.237,88.052,13.73,1434.87
2015-08-28,294.124,98.415,293.89,1.285,0.234,14.47,0.234,61.11
2016-05-27,270.497,99.882,239.054,43.19,31.444,88.787,5.653,101.76
2015-02-04,265.605,99.426,233.022,56.678,32.583,82.39,3.607,106.75
2013-10-03,248.774,100.414,216.342,100.0,32.432,85.814,2.936,707.63
2010-04-28,240.665,106.428,185.871,50.104,54.795,88.143,21.023,2329.56
2015-08-07,267.009,99.461,236.588,100.0,30.42,88.74,1.873,194.38
2011-05-11,248.518,104.054,206.183,57.014,42.335,88.876,11.977,1670.64
2015-12-31,264.632,99.53,237.37,100.0,27.262,85.736,1.749,157.78
2012-02-10,218.856,105.222,177.604,37.441,41.251,82.68,12.279,1247.14
2013-12-14,256.821,100.029,222.156,100.0,34.665,81.706,5.751,460.84
2012-05-27,227.502,102.561,194.794,100.0,32.707,86.983,3.325,1116.86
2011-03-03,243.495,104.925,205.303,100.0,38.192,91.796,8.607,1946.72
2012-07-30,230.454,101.977,197.966,100.0,32.487,86.112,3.115,1043.58
2009-01-22,256.608,105.349,162.185,33.565,94.423,74.054,62.053,3996.66
2010-10-03,240.436,106.351,193.556,63.324,46.88,90.334,14.344,2803.63
2009-01-04,250.741,105.226,157.715,32.643,93.025,77.824,60.447,3347.77
2008-10-07,212.017,104.979,148.499,43.305,63.517,75.382,30.846,4222.5
2013-05-02,243.156,100.98,210.752,100.0,32.404,88.221,3.39,945.7
2013-11-28,251.225,100.149,219.057,100.0,32.169,88.335,2.737,700.53
2014-12-02,262.048,99.488,230.36,100.0,31.688,87.609,1.939,253.04
2009-07-01,229.313,105.059,152.491,28.292,76.822,76.217,45.57,1787.32
2010-05-19,241.964,106.687,195.296,68.733,46.667,92.084,13.252,2849.42
2011-04-09,245.009,104.443,204.503,65.257,40.506,90.431,10.376,1787.35
2008-11-19,223.811,105.07,148.546,35.626,75.265,77.664,43.124,3462.83
2009-06-20,211.855,105.316,151.853,42.236,60.003,81.488,27.199,3745.56
2008-07-20,251.458,104.378,155.352,30.118,96.106,75.617,64.128,2791.01
2011-05-26,247.365,103.915,207.593,65.18,39.773,89.989,9.893,1623.82
2011-01-01,241.612,105.619,202.051,97.917,39.561,90.521,9.639,2074.2
2013-09-10,247.925,100.453,216.072,100.0,31.853,88.787,2.918,749.17
2012-03-24,272.541,103.038,204.463,8.208,68.078,76.04,36.35,239.26
2009-05-18,223.292,105.254,154.639,41.327,68.653,78.641,35.499,3759.11
2010-10-14,243.388,106.267,196.615,60.364,46.773,91.603,14.368,2536.66
2010-04-18,238.065,106.32,183.798,45.676,54.267,89.716,21.067,2521.84
2009-08-02,240.985,105.309,159.844,29.006,81.142,77.098,49.013,945.06
2013-04-04,241.902,101.141,207.929,75.712,33.974,88.025,4.972,982.1
2015-04-26,266.536,99.674,235.753,100.0,30.783,88.686,2.224,265.19
